epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,6900.64,0.94152,0.51148,1.02165,0.84841,0.84199,0.86495,0.53683,1.2083,0.56628,1.14041,0.005545,0.005545,0.005545
137,6951.28,0.93073,0.51205,1.01798,0.8487,0.8407,0.8643,0.53709,1.20813,0.5665,1.14049,0.005512,0.005512,0.005512
138,7004.1,0.93043,0.51022,1.01555,0.84826,0.84139,0.86431,0.53702,1.2079,0.56572,1.14029,0.005479,0.005479,0.005479
139,7054.64,0.9241,0.50678,1.01541,0.8487,0.84255,0.86412,0.53763,1.20732,0.56516,1.14028,0.005446,0.005446,0.005446
140,7105.2,0.91459,0.50056,1.01586,0.8566,0.83438,0.86376,0.5371,1.20685,0.56472,1.13996,0.005413,0.005413,0.005413
141,7155.9,0.9203,0.50044,1.01785,0.85795,0.835,0.86413,0.53686,1.20635,0.56487,1.14002,0.00538,0.00538,0.00538
142,7206.44,0.92214,0.50061,1.01269,0.85733,0.83526,0.86365,0.53774,1.2065,0.56522,1.14008,0.005347,0.005347,0.005347
143,7257.19,0.91323,0.49994,1.00875,0.85829,0.83516,0.8642,0.53704,1.20689,0.56501,1.14011,0.005314,0.005314,0.005314
144,7307.62,0.91522,0.50426,1.01281,0.85934,0.83573,0.86522,0.53703,1.20694,0.56487,1.14042,0.005281,0.005281,0.005281
145,7358.24,0.913,0.50157,1.00743,0.8576,0.83518,0.86476,0.53656,1.20694,0.56424,1.14047,0.005248,0.005248,0.005248
146,7408.61,0.9213,0.50514,1.01228,0.85654,0.83781,0.86478,0.53637,1.20691,0.56378,1.14039,0.005215,0.005215,0.005215
147,7459.27,0.89623,0.4922,1.0046,0.85666,0.83701,0.86497,0.53656,1.20721,0.56307,1.1407,0.005182,0.005182,0.005182
148,7509.85,0.89252,0.48883,1.00205,0.8505,0.84179,0.86542,0.53601,1.20739,0.56297,1.1409,0.005149,0.005149,0.005149
149,7560.86,0.89911,0.48675,1.00824,0.85661,0.83674,0.86456,0.53637,1.20713,0.56323,1.14081,0.005116,0.005116,0.005116
150,7611.52,0.89022,0.48346,1.0008,0.85819,0.83606,0.86503,0.53633,1.20747,0.5632,1.14072,0.005083,0.005083,0.005083
151,7662,0.90599,0.49791,1.01054,0.86013,0.83525,0.86573,0.53653,1.2074,0.56322,1.14064,0.00505,0.00505,0.00505
152,7712.75,0.9001,0.48895,1.00245,0.86119,0.83596,0.86695,0.53712,1.20722,0.56287,1.14077,0.005017,0.005017,0.005017
153,7763.47,0.91192,0.49542,1.00569,0.8616,0.83596,0.867,0.53689,1.20779,0.56288,1.14081,0.004984,0.004984,0.004984
154,7814.14,0.87843,0.47899,0.99592,0.86043,0.8355,0.86623,0.53682,1.20811,0.56241,1.1408,0.004951,0.004951,0.004951
155,7865.15,0.90411,0.49371,1.00453,0.86208,0.8359,0.86647,0.53724,1.20792,0.56203,1.14097,0.004918,0.004918,0.004918
156,7915.7,0.89997,0.49105,1.00115,0.86196,0.83614,0.86681,0.53739,1.20817,0.56189,1.14104,0.004885,0.004885,0.004885
157,7966.34,0.89151,0.485,0.99703,0.86369,0.83631,0.86772,0.53706,1.20799,0.56253,1.141,0.004852,0.004852,0.004852
158,8017.04,0.86789,0.47657,0.99127,0.86394,0.83467,0.86784,0.5368,1.20823,0.56196,1.14111,0.004819,0.004819,0.004819
159,8067.86,0.88966,0.48286,0.99714,0.86443,0.83513,0.86828,0.53669,1.20861,0.56114,1.14124,0.004786,0.004786,0.004786
160,8118.36,0.87232,0.47207,0.99486,0.86492,0.8319,0.86808,0.53664,1.20877,0.56124,1.14143,0.004753,0.004753,0.004753
161,8168.92,0.87155,0.47717,0.99448,0.86751,0.8314,0.86824,0.53638,1.20884,0.56051,1.14135,0.00472,0.00472,0.00472
162,8219.62,0.88066,0.47688,0.99475,0.86744,0.83129,0.86826,0.53624,1.20893,0.56097,1.14136,0.004687,0.004687,0.004687
163,8270.24,0.86497,0.47052,0.99129,0.86659,0.83005,0.86766,0.53627,1.20903,0.56071,1.14125,0.004654,0.004654,0.004654
164,8320.94,0.87713,0.47663,0.99853,0.86571,0.83048,0.86768,0.5363,1.20843,0.56039,1.14115,0.004621,0.004621,0.004621
